Complexity,Loss,Equation
1,1.4932533e10,"282454.94"
3,3.314091e8,"x * 121.92498"
5,3.3139898e8,"256.19742 - (x * -121.83148)"
7,3.3073123e8,"abs((x * abs(-121.8254)) - b)"
9,2.5825373e8,"abs(x - ((-118.031006 - a) * abs(x)))"
11,2.20092e8,"((x - -1975.2369) * 1.262409) * (sqrt(x) + abs(a))"
13,1.7878269e8,"abs((x - -2009.5376) - b) * ((sqrt(x) + a) * 1.2664196)"
