Complexity,Loss,Equation
1,1.4932529e10,"282452.84"
3,3.314091e8,"x * 121.92498"
5,3.2837744e8,"(a + x) * 122.2829"
6,2.3572762e8,"(x + exp(a)) * 120.220375"
8,2.0895218e8,"(exp(a - -0.6436631) + x) * 118.647514"
9,1.7984397e8,"(x - -15.19045) * ((a * 3.5311878) - -111.04382)"
10,1.6570446e8,"(x * 122.313194) + (sin(a) * (-15054.553 - x))"
11,1.5033237e8,"(((x / a) + 80.28818) * (a * 121.22617)) - 26045.246"
12,1.2603978e8,"(abs(exp(a)) + (exp(a) + (x - b))) * 120.61924"
