Complexity,Loss,Equation
1,1.4932529e10,"282452.84"
3,3.314091e8,"x * 121.92498"
5,2.5825368e8,"x * (a + 119.03344)"
6,2.3572762e8,"(x + exp(a)) * 120.220375"
8,1.5608342e8,"121.924255 * (x + (exp(a) - b))"
11,1.2603978e8,"(exp(a) + (exp(a) + (x - b))) * 120.61924"
13,1.0404357e8,"((((b + -118.95233) / 162.44629) * (a * -121.30636)) + x) * 116.101494"
18,6.9274936e7,"(x + (a * abs(b - 93.58383))) * (((b + a) / 252.6594) + (a - -113.08819))"
