Complexity,Loss,Equation
1,23.225466,"4.632642"
2,18.487204,"sqrt(x)"
3,3.7228155,"x ^ 0.8276014"
6,3.6374958,"abs((x ^ 0.8276014) * 0.95639646)"
8,3.5616431,"abs((x ^ 0.7444994) + -0.7820721) * 1.3664159"
11,3.551176,"abs((log(x) / ((x ^ -0.48232424) * -1.0693234)) + -0.0019298028)"
12,3.3802738,"abs((log(x) / ((x ^ -0.48232424) * -1.0693234)) + sin(a))"
16,3.2649393,"abs((x ^ 0.750972) + -0.46095055) * ((((c + 0.82367486) ^ 1.2286245) ^ -0.1865587) * 1.3723891)"
