Complexity,Loss,Equation
1,1.2834291e10,"285664.75"
3,2.5911718e8,"SquareFootage * 124.04875"
5,8.937809e7,"(AgeOfHouse + 20.492365) * 4023.6497"
7,8.9378056e7,"((SquareFootage + 288.06076) * 111.217476) + SquareFootage"
8,8.6022664e7,"sqrt(SquareFootage - 69.453415) * (SquareFootage + 3781.5942)"
14,8.49789e7,"(-16016.492 - AgeOfHouse) + ((SquareFootage + (SquareFootage + 8952.048)) * (sqrt(SquareFootage) / 2.1375098))"
