Complexity,Loss,Equation
1,1.4932531e10,"282455.1"
3,3.314091e8,"x * 121.92498"
8,3.3139725e8,"((x + x) / 0.016403867) + sqrt(a)"
9,3.3048346e8,"(((x * 4.788771) + a) * 4.248928) / 0.16700442"
10,3.073408e8,"(x + -11.947288) * (121.897804 + sqrt(sqrt(exp(a))))"
11,2.403814e8,"(((x / 9.777239) * 12.905761) * (a - -89.2259)) + 142.42505"
18,1.763132e8,"(((b + b) / 59.329636) * (b - 3274.956)) + (x * (134.28452 - (sqrt(b) * 1.5856367)))"
